Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,company,no_of_salaries,avg_salary,min_salary,max_salary
Data Scientist,-1.0,"If you are a data junkie who would like to wrangle through huge data sets of usage, stats, clickstreams, free text feedbacks and more to predict the user experience, adoption and retention. You like to solve complex and challenging problems and articulate the results in a lucid manner. Then we’ve got the problem for you and the data to solve it.

In your role as data scientist you will :
Select features, building and optimizing classifiers using machine learning techniques
Build statistical/machine learning models to extract insights
Create automated anomaly detection systems and constant tracking of its performance
Collaborate with subject matter experts to determine relevant data sources
Communicate the insights/recommendations to a wide spectrum of stake holder
Act as a mentor to guide/train less experienced folks
Desired Skills and experience:
B.E/Masters in Computer science/Statistics or equivalent
At least 5 years of experience in predictive modelling, strong knowledge of machine learning algorithms.
Strong in R,Python (numpy, scipy etc)
Very strong SQL and data visualization
Exposure to Big Data platforms such as Spark, Mahout, Scala, AWS machine learning is a plus
Great communications skills
Verizon recently acquired BlueJeans and plans to integrate BlueJeans employees into Verizon, including its compensation and benefits programs, in due course. This position will be part of that planned integration.",3.0,bluejeans,Bangalore,-1.0,201 to 500 Employees,2009.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1.0,,,,,
Data Analyst - Product,-1.0,"OUR STORY:

JioSaavn is South Asias leading music streaming service. We are over 200 entrepreneurs, across New York, California, Mumbai, Gurgaon, and Bangalore, who help music lovers access, discover, and listen to their favorite songs across languages and genres. In early 2018, a merger between JioMusic and Saavn was announced; creating a combined entity valued at over $1 billion.

We blend digital technology, data analysis (which we have affectionately coined Music Science), and a strong, fearless business acumen to reach all corners of the globe. Through partnerships with Apple, Google, Amazon, Facebook, Twitter and Shazam - to name a few - JioSaavn reaches more music fans across the world. Our award-winning mobile products, partnerships, innovations and thought leadership have been featured in some of the worlds leading publications, from The New York Times, to The Wall Street Journal, The Economic Times to Forbes, and many more. We are well-funded by some of the worlds most successful institutional investors and global media companies as well as a number of strategic individuals. Beyond investing, they are advisors and supporters of our vision, our passion, and our collective ability to deliver a revolutionary music experience as the leader in India.

OUR CULTURE:

At JioSaavn, we ignite passion and performance to work towards a collective goal: creating the perfect mobile entertainment ecosystem that delivers the best possible music experience to millions of listeners around the world. Our default mode is that of perpetual innovation. Together, we form a concerted rhythm that goes beyond borders. We don't just go with the flow, we create it.

JioSaavn offers a dynamic and unconventional work environment, full of fun wholesome experiences from in-office performances by some of the worlds most beloved musicians to opportunities for international travel. We believe creativity and technology blend together like sweet melodies. When you choose JioSaavn, you join a diverse world of high-calibre techies, artists, and inventors hailing from companies like Yahoo!, Twitter, LinkedIn, Google, Qualcomm, HBO, Microsoft, Flipkart, Amazon, Paytm, Quikr, MSN, and NDTV. We are one of the few digital companies to provide employment opportunities that meet the Silicon Valley benchmark right here in Mumbai! Figures, since weve got Silicon Valley covered, too.

Our value-based, people-first work culture is about empowering every individual in our global team to be catalysts for change in this dynamic digital world. Every day is an opportunity to bring your vision to life, and to expand, learn and grow. No idea is left unconsidered. No voice is left unheard.

With listeners speaking multiple languages in almost every country in the world, we like to think we have the most diverse user base on the planet. This has only been made possible because of the value we place on radical inclusivity in our offices across the globe. We believe different is wonderful, and what sets us apart is also what brings us closer. JioSaavn prides itself on being an equal opportunity employer. We have committed ourselves to creating a safe environment with fair and equal access and opportunities, sans discrimination. We encourage everyone to be open to experiences and perspectives beyond their normal; divergent thinkers create differentiated products, and even better music.

If our vibe matches with yours, we'd love to hear from you.

ROLE & RESPONSIBILITIES:
End to end product tracking (events structuring, implementation with engineering teams, QA). This includes working with the engineers to ensure that every feature/new product release has all relevant events, are properly tested and can deliver relevant metrics to the Prod Owners.
Defining & documenting all the structural changes in events & communicate them to the relevant teams.
Partnering with Data-Infra & BI teams to help build out our data platforms & infrastructure.
Providing assistance to the Product Team with data analysis and guide the product decisions based on insights from data validation & A/B Testing.
Creating reports on their findings and communicating next steps to key stakeholders.
Documenting and speaking clearly, the complex ideas & findings.
REQUIREMENTS:
Have 1-2 years of data analyst experience.
Adept in writing optimised SQL/Hive Query & knowledge about Big Data framework.
Strong hold in scripting languages like Python/R.
Proficiency in web/product analytics tools like Google analytics, Amplitude, web analytics etc.
Basic Understanding of statistical/predictive modelling and segmentation techniques.
Proficient in working with advanced Excel and Powerpoint.
Be great in translating data to insights, report writing and relevant visualisations.
Strong communication/interpersonal skills along with an eye for detail.
Demonstrated knowledge of and skill in decision making, customer service, interpersonal relations, problem solving, project management, quality management, written communication, results orientation, strategic thinking.
Experience in the technology industry with the big-data infra will be a bonus.
BENEFITS AND PERKS:

At JioSaavn, we blur work and play, and you get all the perks of a global company. You will get to work with a dynamic group of entrepreneurs, who are delivering results and working zealously across time zones to make a difference in the way the world experiences music. We love what we do, and we think you will too.
Work days: Monday to Friday (weekends off)
Group Mediclaim
Fun Fridays
Flexible vacation policies
Free healthy (and unhealthy) lunches & snacks
JioSaavn -sponsored team outings
Powered by JazzHR",4.4,saavn,Mumbai,-1.0,201 to 500 Employees,2007.0,Company - Private,Music Production & Distribution,Media,Unknown / Non-Applicable,-1.0,,,,,
Azure Data Engineer,-1.0,"Azure Data Engineer - Pune

Were passionate, were collaborative and we are growing.

AArete is looking for a strong Azure Data Engineer to join our team. If you are highly analytical with an entrepreneurial spirit and commitment to excellence, you strive in a team environment and love an exciting challenge then this will be an exciting opportunity for you!

At AArete we live and breathe to provide the best experience to our clients each and every day. We are fresh, passionate, have tons of energy, and love what we do provide non- labor cost reduction solutions and wow our clients with impeccable service.

Why AArete? Our culture embraces the motto Work hard. Play hard. We always make sure to change the pace and offer our employees a chance to unwind and have fun. We also believe in giving back. We support our communities by sponsoring charitable organizations through fundraising and volunteer efforts.

It is an exciting time to join the AArete team. Come join the company named in Vaults Top 50 Firms to Work For 2019, Crain's Chicago Business Fast 50 for the 3rd time, Inc 5000s Fastest Growing Firms list for the 4th consecutive year and Consulting Magazine's Fastest Growing Firms for the 4th consecutive year.

The Role. As the Azure Data Engineer, you will be working with our internal data and analytics team, the Center of Data Excellence, or CODE team to enable client solutions through ETL execution and business intelligence.

Job Summary:

Strong proficiency in Azure Data Factory, Azure SQL Database, Azure Data Services and SQL Server with 6-8 year of experience in IT

Exposure to Azure technologies, such as Azure Databricks, Azure Analysis Service, Azure Data lakes, Azure Cosmos DB, Power BI

Experience with data transformations project Migrating Data & Applications to the cloud

Should be proficient in SQL Server, SSIS or any other data integration tools

Good experience in creating database schemas, database models that represent and support business processes

Responsibly own project tasks and take it through completion

Communication with customers and negotiation on requirements

Skills Requirements:

Hands-on Azure experience with a minimum of 1 solution designed and implemented at production scale

Must have minimum of 3-year working experience on Azure Stack

Must have strong hands on experience in development, implementation and deployment of multiple database integration/ETL based projects

Experience in designing and supporting multi-tenant databases, including appropriate security measures

Good to have exposure to C#/Node JS

Exposure to REST API and its integration with client-side technologies

Ability to provide deliverables within an Agile methodology

Act as a decision-making Team Lead. The Team Lead should be able to contribute effectively representing the technical aspects of the product design to clients and commenting on (but not committing to) the feasibility of the enhancements being discussed

Excellent written and communication skills",4.2,aarete,Pune,-1.0,201 to 500 Employees,2008.0,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1.0,,,,,
Business Analyst - Data Science,-1.0,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of BA, Data Science
In this role, you will be responsible to demonstrate innovation and intuition in identifying areas requiring operational adaptation and/or improvement Active user of Internet and online applications.
Responsibilities
Collaborate with multiple business functions to identify their priorities and help clients make appropriate strategic decisions aligned with the business plan for the year.
Analyze functional requirements of clients to build models using Python/R and make data-driven & important metric focused recommendations.
Organize / actively engaged in workshops, recurring meetings with the key partners to drive Inventory reduction opportunities.
Document the end to end process, project scope, requirements to prepare a detailed project with timelines & deliverables during each time period.
Design & consistently monitor business important metrics report it out to partner and participate / support executive governance meetings with all information & data.
Qualifications we seek in you!
Minimum qualifications
Graduate(BE)
Experience in Python/R and basics SAP Knowledge.
Preferred qualifications
Experience in data mining, analysis and reporting.
Analytical/ Problem Solving attitude with superb communication & interpersonal skills
Customer centric approach Proven proficiency with written and oral English language
Strong attention to detail.
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.8,genpact,Bangalore,-1.0,10000+ Employees,1997.0,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1.0,Genpact,5.0,"₹ 8,34,290/yr",₹164K,"₹1,000K"
Business Analyst - Data Science,-1.0,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of BA, Data Science
In this role, you will be responsible to demonstrate innovation and intuition in identifying areas requiring operational adaptation and/or improvement Active user of Internet and online applications.
Responsibilities
Collaborate with multiple business functions to identify their priorities and help clients make appropriate strategic decisions aligned with the business plan for the year.
Analyze functional requirements of clients to build models using Python/R and make data-driven & important metric focused recommendations.
Organize / actively engaged in workshops, recurring meetings with the key partners to drive Inventory reduction opportunities.
Document the end to end process, project scope, requirements to prepare a detailed project with timelines & deliverables during each time period.
Design & consistently monitor business important metrics report it out to partner and participate / support executive governance meetings with all information & data.
Qualifications we seek in you!
Minimum qualifications
Graduate(BE)
Experience in Python/R and basics SAP Knowledge.
Preferred qualifications
Experience in data mining, analysis and reporting.
Analytical/ Problem Solving attitude with superb communication & interpersonal skills
Customer centric approach Proven proficiency with written and oral English language
Strong attention to detail.
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.8,genpact,Bangalore,-1.0,10000+ Employees,1997.0,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1.0,Genpact,2.0,-1,₹44K,₹86K
Senior Manager - Data Scientist,-1.0,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of SM, Data Scientist
This Role includes writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.
Responsibilities
To support in the marketing campaign execution journey for a leading firm to migrate and execute campaigns from leading marketing automation platform to custom build Notebook in Python
Strong technical and marketing domain acumen to understand marketing strategies and convert it into Python codes
Build complex multi-channel marketing campaigns based on business requirement
Perform data manipulation, wrangling, cleansing, and analysis and be responsible for the complex and large-scale datasets to be used for statistical modeling and data mining.
Must be proficient with tools such as Anaconda, Rstudio, Apache HTTP server, etc.
Provide support and assistance for the implementation of predictive models
Develop ETL pipelines to move data from source systems (CRM, weblogs, etc.) into data lake (HDFS, S3 etc.).
Develop processes for data preparations, modelling and mining & discover opportunities for data acquisitions
Experience in building data pipelines using different data sources
Hands on python development experience is a must
Knowledge of relational databases (preferably MS SQL Server 2008 and above, Teradata), with experience writing SQL queries and stored procedures.
Should know and understand both Supervised & Unsupervised Machine Learning algorithms and have applied them in industry scenario on at least 1 implementations
Should have good amount of data analysis experience, should know about various exploratory techniques
Very good communication skills; must be able to discuss the requirements effectively with a technical team of developers
Qualifications we seek in you
Minimum qualifications
Graduate/ Post Graduate in B.tech/MBA/MCA
Preferred qualifications
A flexible, dedicated and solution orientated approach through periods of change and disruption.
Should possess good interpersonal skills
Innovative and always looking for continuous improvement
Communicate with clients on day-to-day basis to discuss project progress
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.8,genpact,Bangalore,-1.0,10000+ Employees,1997.0,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1.0,Genpact,5.0,"₹ 8,34,290/yr",₹164K,"₹1,000K"
Senior Manager - Data Scientist,-1.0,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of SM, Data Scientist
This Role includes writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.
Responsibilities
To support in the marketing campaign execution journey for a leading firm to migrate and execute campaigns from leading marketing automation platform to custom build Notebook in Python
Strong technical and marketing domain acumen to understand marketing strategies and convert it into Python codes
Build complex multi-channel marketing campaigns based on business requirement
Perform data manipulation, wrangling, cleansing, and analysis and be responsible for the complex and large-scale datasets to be used for statistical modeling and data mining.
Must be proficient with tools such as Anaconda, Rstudio, Apache HTTP server, etc.
Provide support and assistance for the implementation of predictive models
Develop ETL pipelines to move data from source systems (CRM, weblogs, etc.) into data lake (HDFS, S3 etc.).
Develop processes for data preparations, modelling and mining & discover opportunities for data acquisitions
Experience in building data pipelines using different data sources
Hands on python development experience is a must
Knowledge of relational databases (preferably MS SQL Server 2008 and above, Teradata), with experience writing SQL queries and stored procedures.
Should know and understand both Supervised & Unsupervised Machine Learning algorithms and have applied them in industry scenario on at least 1 implementations
Should have good amount of data analysis experience, should know about various exploratory techniques
Very good communication skills; must be able to discuss the requirements effectively with a technical team of developers
Qualifications we seek in you
Minimum qualifications
Graduate/ Post Graduate in B.tech/MBA/MCA
Preferred qualifications
A flexible, dedicated and solution orientated approach through periods of change and disruption.
Should possess good interpersonal skills
Innovative and always looking for continuous improvement
Communicate with clients on day-to-day basis to discuss project progress
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.8,genpact,Bangalore,-1.0,10000+ Employees,1997.0,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1.0,Genpact,2.0,-1,₹44K,₹86K
Assistant Manager - Data Scientist,-1.0,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of AM, Data Scientist
This Role includes writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.
Responsibilities
To support in the marketing campaign execution journey for a leading firm to migrate and execute campaigns from leading marketing automation platform to custom build Notebook in Python
Strong technical and marketing domain acumen to understand marketing strategies and convert it into Python codes
Build complex multi-channel marketing campaigns based on business requirement
Perform data manipulation, wrangling, cleansing, and analysis and be responsible for the complex and large-scale datasets to be used for statistical modeling and data mining.
Must be proficient with tools such as Anaconda, Rstudio, Apache HTTP server, etc.
Provide support and assistance for the implementation of predictive models
Develop ETL pipelines to move data from source systems (CRM, weblogs, etc.) into data lake (HDFS, S3 etc.).
Develop processes for data preparations, modelling and mining & discover opportunities for data acquisitions
Experience in building data pipelines using different data sources
Hands on python development experience is a must
Knowledge of relational databases (preferably MS SQL Server 2008 and above, Teradata), with experience writing SQL queries and stored procedures.
Should know and understand both Supervised & Unsupervised Machine Learning algorithms and have applied them in industry scenario on at least 1 implementations
Should have good amount of data analysis experience, should know about various exploratory techniques
Very good communication skills; must be able to discuss the requirements effectively with a technical team of developers
Qualifications we seek in you
Minimum qualifications
Graduate/ Post Graduate in B.tech/MBA/MCA
Preferred qualifications
A flexible, dedicated and solution orientated approach through periods of change and disruption.
Should possess good interpersonal skills
Innovative and always looking for continuous improvement
Communicate with clients on day-to-day basis to discuss project progress
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.8,genpact,Bangalore,-1.0,10000+ Employees,1997.0,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1.0,Genpact,5.0,"₹ 8,34,290/yr",₹164K,"₹1,000K"
Assistant Manager - Data Scientist,-1.0,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Are you the one we are looking for?
We are inviting applications for the role of AM, Data Scientist
This Role includes writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.
Responsibilities
To support in the marketing campaign execution journey for a leading firm to migrate and execute campaigns from leading marketing automation platform to custom build Notebook in Python
Strong technical and marketing domain acumen to understand marketing strategies and convert it into Python codes
Build complex multi-channel marketing campaigns based on business requirement
Perform data manipulation, wrangling, cleansing, and analysis and be responsible for the complex and large-scale datasets to be used for statistical modeling and data mining.
Must be proficient with tools such as Anaconda, Rstudio, Apache HTTP server, etc.
Provide support and assistance for the implementation of predictive models
Develop ETL pipelines to move data from source systems (CRM, weblogs, etc.) into data lake (HDFS, S3 etc.).
Develop processes for data preparations, modelling and mining & discover opportunities for data acquisitions
Experience in building data pipelines using different data sources
Hands on python development experience is a must
Knowledge of relational databases (preferably MS SQL Server 2008 and above, Teradata), with experience writing SQL queries and stored procedures.
Should know and understand both Supervised & Unsupervised Machine Learning algorithms and have applied them in industry scenario on at least 1 implementations
Should have good amount of data analysis experience, should know about various exploratory techniques
Very good communication skills; must be able to discuss the requirements effectively with a technical team of developers
Qualifications we seek in you
Minimum qualifications
Graduate/ Post Graduate in B.tech/MBA/MCA
Preferred qualifications
A flexible, dedicated and solution orientated approach through periods of change and disruption.
Should possess good interpersonal skills
Innovative and always looking for continuous improvement
Communicate with clients on day-to-day basis to discuss project progress
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.8,genpact,Bangalore,-1.0,10000+ Employees,1997.0,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1.0,Genpact,2.0,-1,₹44K,₹86K
Business Analyst - Data Scientist,-1.0,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Transformation happens here. Come, be a part of our exciting journey!
Are you the one we are looking for?
Inviting applications for the role of BA, Data Scientist
The position is based out of Bangalore, India and the focus of the role is to have enterprise level experience for Data Model Migration (legacy modernization) and being able to setup the new modeling architecture and help develop an efficient & streamlined process for ETL/WB, model development, validation, scoring, monitoring, etc and mentor the team as well.
Key Responsibilities:
Deploying analytics solutions and enable tracking of business outcomes.
Responsible for Model Migration.
Project Management, Mentoring Junior members in the team and Client Interaction.
Ensuring Quality through compliance to framework, architecture and coding standards.
Selecting features, building and optimizing classifiers using machine learning techniques.
Prior Experience with Model migration from legacy to Modern setups (e.g. SAS model to Python / PySpark scripts)
Experience with Hadoop, Spark
Experience with Cloud based services a plus – Google Cloud, AWS, Azure services used for Data storage and Data ingestion/ transformation like S3, ADF, Glue etc.
Predictive Analytics – Hands-on experience in AI and Machine Learning
Good applied statistics skills, such as distributions, statistical testing, regression etc.
Building and implementing models, algorithms and simulations and executing the same using a variety of Tools
Very good scripting and programming skills necessary to build and efficient and streamlined process/environment
Experience with implementing analytical models
Hands on experience in
Code Versioning Tool - GitHub
Experience in relational and NoSQL Databases
Knowledge on Agile methodology
Qualifications
Minimum qualifications
B.E. in Computer Science, Information systems, or Computer engineering, Systems Engineering or M.S. in Statistics
Relevant work experience in Data Science/advanced programming and in Data Engineering Practice and Platforms
Mathematics and Statistical Background
High level of intellectual curiosity about the use of data engineering and Analytics
Extensive Experience with Analytics products and solutions
Preferred qualifications
Passion for technology and a keen learner to stay abreast on what’s latest
Ability to encourage and inspire change in technology application
Ability to work in varied LOBs and with multiple partners
Conflict management and negotiation skills
Skill gap identification and development of our global teams
Excellent verbal and written communication skills
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.",3.8,genpact,Bangalore,-1.0,10000+ Employees,1997.0,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1.0,Genpact,5.0,"₹ 8,34,290/yr",₹164K,"₹1,000K"
