company,no_of_salaries,avg_salary,min_salary,max_salary
Tata Consultancy Services,49,"₹ 7,47,914/yr",₹395K,"₹1,932K"
IBM,49,"₹ 12,25,552/yr",₹285K,"₹3,727K"
Mu Sigma,47,"₹ 6,21,200/yr",₹355K,"₹1,020K"
Cognizant Technology Solutions,34,"₹ 11,05,414/yr",₹380K,"₹1,884K"
Accenture,24,"₹ 10,92,969/yr",₹539K,"₹2,423K"
Fractal,21,"₹ 13,98,963/yr",₹800K,"₹1,960K"
Mu Sigma,21,"₹ 35,000/mo",₹26K,₹390K
Infosys,20,"₹ 8,25,161/yr",₹209K,"₹1,700K"
Impact Analytics,18,"₹ 6,41,319/yr",₹515K,₹860K
Wipro,16,"₹ 9,80,303/yr",₹212K,"₹2,500K"
Capgemini,16,"₹ 9,76,422/yr",₹473K,"₹1,800K"
Microsoft,13,"₹ 16,57,840/yr",₹980K,"₹2,151K"
Ericsson-Worldwide,13,"₹ 11,82,999/yr",₹386K,"₹3,476K"
ZS Associates,13,"₹ 11,99,111/yr",₹200K,"₹2,174K"
Delhivery,12,"₹ 12,85,000/yr",₹706K,"₹11,513K"
Flutura,12,"₹ 7,38,540/yr",₹311K,"₹1,450K"
Tata Consultancy Services,12,"₹ 29,025/mo",₹11K,₹66K
Innoplexus,11,"₹ 12,90,544/yr",₹699K,"₹1,844K"
Tech Mahindra,11,"₹ 10,42,863/yr",₹390K,"₹2,287K"
Amazon,11,"₹ 15,73,833/yr",₹600K,"₹4,000K"
UnitedHealth Group,11,"₹ 13,23,634/yr",₹710K,"₹1,679K"
Fuzzy Logix,11,"₹ 15,07,204/yr",₹900K,"₹2,174K"
Cyient,10,"₹ 10,16,414/yr",₹112K,"₹1,967K"
Verizon,9,"₹ 13,45,192/yr",₹734K,"₹2,365K"
MiQ,9,"₹ 15,54,872/yr",₹171K,"₹2,458K"
Housing.com,8,"₹ 22,98,441/yr",₹204K,"₹2,431K"
Anheuser-Busch InBev,8,"₹ 14,70,123/yr","₹1,049K","₹1,844K"
Google,7,"₹ 20,00,000/yr",₹270K,"₹7,200K"
Tiger Analytics,7,"₹ 15,69,783/yr",₹408K,"₹1,819K"
Scienaptic Systems,7,"₹ 12,42,401/yr",₹146K,"₹5,913K"
Deloitte,7,"₹ 14,30,283/yr",₹532K,"₹1,614K"
Société Générale,7,"₹ 18,53,088/yr",₹900K,"₹1,918K"
Nielsen,7,"₹ 6,90,802/yr",₹600K,"₹1,319K"
Vidooly Media Tech,6,"₹ 12,689/mo",₹8K,₹20K
Hewlett Packard Enterprise | HPE,6,"₹ 19,61,178/yr",₹928K,"₹2,466K"
Innovaccer,6,"₹ 9,26,827/yr",₹615K,"₹1,679K"
Microsoft,6,"₹ 80,000/mo",₹21K,₹82K
Karvy,6,"₹ 5,73,402/yr",₹435K,"₹1,372K"
IBM,6,"₹ 56,154/mo",₹27K,₹156K
Valiance Solutions,6,"₹ 7,72,507/yr",₹497K,"₹1,140K"
Walmart,6,"₹ 24,85,949/yr","₹1,851K","₹3,069K"
Analytics Vidhya,6,"₹ 21,215/mo",₹14K,₹22K
Quantiphi,5,"₹ 10,26,397/yr",₹762K,"₹1,553K"
dunnhumby,5,"₹ 15,57,365/yr",₹800K,"₹1,987K"
OYO,5,"₹ 14,00,000/yr",₹962K,"₹1,866K"
Blueocean Market Intelligence,5,"₹ 7,20,936/yr",₹688K,₹816K
Quadratic Insights,5,"₹ 5,51,514/yr",₹347K,₹800K
Jotter,5,"₹ 8,82,423/yr",₹819K,"₹1,083K"
Reliance Industries,5,"₹ 17,10,037/yr",₹900K,"₹2,561K"
Applied Data Finance,5,"₹ 8,34,291/yr",₹659K,"₹1,266K"
HCL Technologies,5,"₹ 8,40,745/yr",₹500K,"₹1,469K"
Citi,5,"₹ 18,00,000/yr",₹259K,"₹2,563K"
Genpact,5,"₹ 8,34,290/yr",₹164K,"₹1,000K"
INSOFE,5,"₹ 9,14,670/yr",₹600K,"₹1,469K"
Myntra,5,"₹ 16,73,653/yr",₹220K,"₹2,200K"
Optum,5,"₹ 12,80,798/yr",₹800K,"₹2,158K"
